127.0.0.1 - - [07/Mar/2019:10:02:51 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:51 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:03:00 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:03:00 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:03:00 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:03:00 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:03:00 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:03:00 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:03:00 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:03:00 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:10:03:00 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:10:03:00 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:10:03:01 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:03:01 +0800] "GET /javaee/student?id=4 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:03:07 +0800] "GET /javaee/student?id=5 HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:03:11 +0800] "GET /javaee/student?id=6 HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:03:17 +0800] "GET /javaee/student?id=7 HTTP/1.1" 200 288
127.0.0.1 - - [07/Mar/2019:10:04:14 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:04:14 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:04:14 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:04:14 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:04:14 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:04:14 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:10:04:14 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - - [07/Mar/2019:10:04:14 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:04:14 +0800] "GET /manager/text/ HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:04:20 +0800] "GET /javaee/student?id=7 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:04:20 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [07/Mar/2019:10:30:18 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:30:18 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:30:18 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:30:18 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:30:18 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:30:18 +0800] "GET /manager/text/ HTTP/1.1" 200 39
